Neuron,Description
ADAL,"ADAL is a left anterior interneuron situated near the head ganglia. It participates in integrating sensory input from amphid neurons and modulating downstream circuits related to locomotion and head movement. Its bilateral counterpart, ADAR, mirrors its function and connectivity."
ADAR,"ADAR is the right counterpart to ADAL, functioning as an anterior interneuron that receives inputs from sensory neurons and relays them to premotor networks. It contributes to directional head responses and coordination of anterior motor output."
ADEL,ADEL is a left anterior sensory neuron involved in mechanosensory and possibly chemosensory processing. It detects external cues around the head and transmits information to head interneurons influencing orientation behavior.
ADER,ADER is the right sensory neuron counterpart to ADEL. It processes environmental stimuli such as touch or chemical gradients near the head and relays information to motor integration circuits.
ADFL,ADFL is a left amphid sensory neuron specialized for chemosensation. It detects water-soluble attractants and transmits chemical cues to interneurons that guide navigation and feeding behavior.
ADFR,ADFR is the right amphid chemosensory neuron complementing ADFL. It contributes to detecting environmental odorants and mediating chemotactic movement toward favorable conditions.
ADLL,ADLL is a left amphid sensory neuron with mixed chemosensory and nociceptive properties. It detects chemical repellents and participates in avoidance and aversive learning behaviors.
ADLR,ADLR is the right amphid sensory neuron paired with ADLL. It senses chemical and mechanical stimuli associated with noxious conditions and informs circuits controlling withdrawal and turning.
AFDL,AFDL is a left amphid neuron sensitive to temperature and CO₂ levels. It helps the worm orient to preferred thermal and gas environments and modulates locomotion accordingly.
AFDR,"AFDR is the right thermosensory and CO₂-responsive amphid neuron. Together with AFDL, it provides bilateral input for thermotaxis and gas-avoidance behaviors."
AIAL,AIAL is a left head interneuron that integrates sensory inputs from amphid neurons and distributes them to downstream interneurons. It contributes to chemotaxis and thermotaxis decision-making.
AIAR,AIAR is the right interneuron homolog to AIAL. It participates in integrating multimodal sensory information and helps modulate locomotor state changes based on environmental cues.
AIBL,AIBL is a left head interneuron that acts as a central hub for sensory-motor integration. It receives inputs from chemosensory neurons and influences behavioral reversals and turning frequency.
AIBR,AIBR is the right interneuron counterpart to AIBL. It modulates navigation strategy and reversals in response to changing sensory gradients.
AIML,AIML is a left interneuron located near the nerve ring. It integrates inputs from head sensory neurons and modulates behavioral states such as quiescence and social feeding patterns.
AIMR,"AIMR is the right counterpart to AIML, working jointly to modulate internal state-dependent behaviors via neuromodulatory transmission."
AINL,AINL is a left anterior interneuron that links sensory processing to motor decision circuits. It influences head movement and locomotor transitions through graded activity changes.
AINR,AINR is the right member of the AIN interneuron pair. It provides bilateral integration of sensory signals for coherent head orientation and motor coordination.
AIYL,AIYL is a left interneuron integrating sensory information from chemosensory neurons and controlling turning bias during navigation. It is part of the circuit implementing klinotaxis behavior.
AIYR,"AIYR is the right partner of AIYL, contributing to modulation of turning and head swings based on sensory gradient detection."
AIZL,AIZL is a left interneuron positioned near the nerve ring that functions as a relay between sensory neurons and command interneurons. It is critical for chemotaxis and thermotaxis steering decisions.
AIZR,"AIZR is the right counterpart to AIZL, forming a bilateral pair that helps translate chemical and thermal cues into directed motor output."
ALA,ALA is a single interneuron with modulatory and mechanosensory properties. It regulates sleep-like quiescent states and body posture and can release neuropeptides to adjust motor tone.
ALML,ALML is a left mechanosensory neuron detecting gentle touch along the anterior body. It triggers withdrawal and avoidance behavior through activation of interneuron networks.
ALMR,ALMR is the right mechanosensory neuron complementing ALML. It senses gentle anterior touch and mediates corresponding reflex responses to tactile stimulation.
ALNL,ALNL is a left neuron of unclear function near the lateral ganglion. It may serve an integrative role between sensory input and motor circuits in the head region.
ALNR,"ALNR is the right analog of ALNL with similar uncertain function, potentially acting in sensory-motor coordination or neuromodulation."
AQR,AQR is a single oxygen-sensing neuron located near the head. It detects oxygen concentration and modulates locomotor speed and reversal frequency to maintain optimal gas exposure.
AS1,AS1 is an anterior motor neuron in the ventral cord contributing to dorsal muscle activation during backward locomotion. It participates in generating wave propagation for reverse movement.
AS10,AS10 is a posterior AS-class motor neuron coordinating late-phase dorsal contraction during reversals. It maintains rhythmic integrity of backward motion.
AS11,"AS11 is the terminal AS-class motor neuron, innervating dorsal tail muscles to complete reverse locomotion and retraction movements."
AS2,AS2 is a motor neuron that innervates dorsal muscles in the anterior ventral cord. It coordinates bending patterns during backward movement.
AS3,AS3 is a dorsal motor neuron that assists in producing the reversal waveform by driving anterior dorsal muscle contraction.
AS4,AS4 is a midbody dorsal motor neuron in the AS class supporting backward locomotion by coordinating contractions with neighboring AS neurons.
AS5,AS5 is a dorsal motor neuron contributing to posterior extension of the reversal wave. It ensures continuity of dorsal contraction during backward movement.
AS6,AS6 is a posterior AS-class motor neuron aiding in the final segments of reverse locomotion. It synchronizes dorsal contractions near the tail.
AS7,AS7 is a posterior ventral cord motor neuron coordinating with AS6 for sustained dorsal activation during reversal behavior.
AS8,AS8 is a dorsal motor neuron operating in the posterior cord to complete the reverse locomotion sequence.
AS9,"AS9 is one of the most posterior AS-class neurons, finalizing dorsal muscle activity during reversals and contributing to tail posture."
ASEL,ASEL is a left chemosensory neuron specialized for detecting water-soluble attractants such as salts. It encodes positive gradients to promote approach behavior during chemotaxis.
ASER,"ASER is the right chemosensory neuron complementing ASEL, responding oppositely to certain ion gradients to guide bidirectional chemotactic navigation."
ASGL,"ASGL is a left amphid sensory neuron detecting specific soluble cues, including amino acids. It contributes to chemotactic orientation and feeding responses."
ASGR,ASGR is the right chemosensory neuron paired with ASGL. It transmits chemical information to head interneurons guiding navigational behavior.
ASHL,"ASHL is a left amphid sensory neuron that responds to osmotic, mechanical, and chemical repellents. It triggers avoidance and escape behaviors via downstream interneurons."
ASHR,ASHR is the right amphid nociceptive neuron counterpart to ASHL. It detects aversive stimuli and mediates rapid withdrawal reflexes.
ASIL,ASIL is a left amphid sensory neuron responsive to chemical and thermal cues. It helps modulate orientation toward or away from gradients of odor and temperature.
ASIR,ASIR is the right amphid sensory neuron paired with ASIL. It integrates multimodal sensory input for directional movement control.
ASJL,ASJL is a left sensory neuron in the amphid with roles in detecting specific odorants and soluble compounds. It contributes to chemosensory mapping of the head environment.
ASJR,"ASJR is the right sensory neuron of the same type as ASJL, participating in bilateral chemosensory detection and orientation."
ASKL,ASKL is a left amphid sensory neuron specialized for chemosensation of pheromonal or attractant compounds. It aids in social and environmental navigation.
ASKR,ASKR is the right amphid chemosensory neuron complementing ASKL. It transmits chemical information modulating attraction and aggregation behavior.
AUAL,AUAL is a left head interneuron integrating sensory information from amphid neurons and influencing locomotor direction. It contributes to processing of chemical cues during navigation.
AUAR,"AUAR is the right counterpart of AUAL, coordinating with it to mediate sensory-driven orientation changes and head motor activity."
AVAL,AVAL is a left command interneuron that drives backward locomotion. It connects to dorsal and ventral motor neurons to initiate and maintain reversals.
AVAR,AVAR is the right command interneuron complementing AVAL. It coordinates with AVAL to generate symmetrical reverse waves and initiate backward crawling.
AVBL,AVBL is a left command interneuron responsible for forward locomotion. It provides excitatory drive to B-class motor neurons controlling ventral and dorsal muscle contraction.
AVBR,AVBR is the right forward command interneuron complementing AVBL. It sustains rhythmic motor activity during forward movement.
AVDL,AVDL is a left interneuron linking sensory input to command circuits. It helps regulate transitions between forward and reverse locomotion based on external stimuli.
AVDR,"AVDR is the right interneuron complementing AVDL, contributing to adaptive motor transitions in response to sensory context."
AVEL,AVEL is a left interneuron near the nerve ring that communicates between sensory neurons and motor commands. It modulates locomotor initiation.
AVER,"AVER is the right interneuron corresponding to AVEL, supporting coordinated locomotor pattern switching."
AVFL,"AVFL is a left interneuron associated with ventral cord integration, transmitting signals from anterior sensory inputs to motor command circuits."
AVFR,"AVFR is the right homolog of AVFL, sharing similar relay functions between sensory and motor systems."
